dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
8,0.35,3,ast_identity,5984,12.54689445988944,0.00016711229946524063,1.0,1.0
8,0.35,4,feature,448,8.709696908189786,0.00423728813559322,0.0,0.05583250249252243
8,0.35,4,consequence,3162,11.043335394396316,0.003364905284147557,0.4974699557242252,0.3940677966101695
8,0.35,4,ast_identity,8024,12.970105890610046,0.0001246261216350947,1.0,1.0
8,0.35,5,feature,616,9.161553466782957,0.0033783783783783786,0.0,0.06120826709062003
8,0.35,5,consequence,3834,11.357604807494805,0.0026828298887122417,0.48200312989045385,0.3809618441971383
8,0.35,5,ast_identity,10064,13.296916206877794,9.936406995230525e-05,1.0,1.0
8,0.35,6,feature,1017,9.661641553824706,0.0028089887640449437,0.06489675516224189,0.08402181097157964
8,0.35,6,consequence,5718,11.924459571668082,0.002230667547918044,0.6267925848198671,0.4724058162590879
8,0.35,6,ast_identity,12104,13.563196272212977,8.261731658955717e-05,1.0,1.0
10,0.15,1,feature,135,7.047788711842075,0.010784313725490196,0.0,0.0661764705882353
10,0.15,1,consequence,339,7.632864342110127,0.012254901960784314,0.26253687315634217,0.1661764705882353
10,0.15,1,ast_identity,2040,10.994353436859232,0.0004901960784313725,1.0,1.0
10,0.15,2,feature,270,8.017800248406827,0.006862745098039216,0.0,0.0661764705882353
10,0.15,2,consequence,817,8.943220525076885,0.006127450980392157,0.40269277845777235,0.2002450980392157
10,0.15,2,ast_identity,4080,11.994353436858642,0.00024509803921568627,1.0,1.0
10,0.15,3,feature,510,8.870589483384503,0.004575163398692811,0.0,0.08333333333333333
10,0.15,3,consequence,2144,10.269695157370126,0.004084967320261438,0.5676305970149254,0.3503267973856209
10,0.15,3,ast_identity,6120,12.579315937578388,0.0001633986928104575,1.0,1.0
10,0.15,4,feature,869,9.557341639334547,0.003431372549019608,0.00805523590333717,0.10649509803921568
10,0.15,4,consequence,3073,10.916943204078363,0.0030637254901960784,0.5252196550602017,0.37659313725490196
10,0.15,4,ast_identity,8160,12.99435343686073,0.00012254901960784314,1.0,1.0
10,0.15,5,feature,1229,10.043796220951617,0.0027450980392156863,0.009764035801464606,0.12049019607843137
10,0.15,5,consequence,3941,11.361848785936523,0.0024509803921568627,0.48693225069779245,0.3863725490196078
10,0.15,5,ast_identity,10200,13.316281531744513,9.80392156862745e-05,1.0,1.0
10,0.15,6,feature,2104,10.600588802434514,0.0022875816993464053,0.1796577946768061,0.1718954248366013
10,0.15,6,consequence,5818,11.923186236208542,0.002042483660130719,0.6266758336198006,0.4753267973856209
10,0.15,6,ast_identity,12240,13.579315937580242,8.169934640522875e-05,1.0,1.0
10,0.25,1,feature,135,7.048994337341414,0.010294117647058823,0.0,0.0661764705882353
10,0.25,1,consequence,457,8.393181611654335,0.00784313725490196,0.2188183807439825,0.22401960784313726
10,0.25,1,ast_identity,2040,10.994353436859232,0.0004901960784313725,1.0,1.0
10,0.25,2,feature,270,8.007226695455573,0.007598039215686274,0.0,0.0661764705882353
10,0.25,2,consequence,1118,9.6184584311278,0.00392156862745098,0.3622540250447227,0.2740196078431373
10,0.25,2,ast_identity,4080,11.994353436858642,0.00024509803921568627,1.0,1.0
10,0.25,3,feature,510,8.867555536706503,0.005065359477124183,0.0,0.08333333333333333
10,0.25,3,consequence,2793,10.868673562418603,0.00261437908496732,0.6337271750805585,0.45637254901960783
10,0.25,3,ast_identity,6120,12.579315937578388,0.0001633986928104575,1.0,1.0
10,0.25,4,feature,870,9.558224220192182,0.003799019607843137,0.006896551724137931,0.10661764705882353
10,0.25,4,consequence,4080,11.494479238100931,0.00196078431372549,0.6348039215686274,0.5
